time,x,y,z,phi,theta,psi,u,v,w,p,q,r
0.000000,0.000000,0.000000,-420.000000,0.000000,0.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,0.020000,0.000000,-419.999996,0.000000,-0.000000,0.000000,19.999707,0.000000,0.007077,0.000000,-0.000005,0.000000
0.002000,0.039999,0.000000,-419.999986,0.000000,-0.000000,0.000000,19.999414,0.000000,0.014126,0.000000,-0.000019,0.000000
0.003000,0.059999,0.000000,-419.999968,0.000000,-0.000000,0.000000,19.999121,0.000000,0.021147,0.000000,-0.000042,0.000000
0.004000,0.079998,0.000000,-419.999944,0.000000,-0.000000,0.000000,19.998830,0.000000,0.028141,0.000000,-0.000074,0.000000
