NodeID,x,y,z,phi,theta,psi,u,v,w,p,q,r,delta_e,delta_a,delta_r,duration,cost
46,43.3538,0,-49.0882,0,-0.862944,0,28.6092,0,1.63417,0,-3.03851,0,0.286376,0,0,0.0392095,-1182.63
47,44.1486,0,-48.0482,0,-0.96123,0,28.9572,0,-1.17618,0,-1.24258,0,-0.36034,0,0,0.0454162,-1226.74
48,44.3519,0,-47.78,0,-0.973285,0,29.0293,0,-1.44105,0,-0.835098,0,-0.293285,0,0,0.0115965,-1271.06
49,44.9491,0,-46.9802,0,-1.01819,0,29.2142,0,-2.40384,0,-1.78366,0,0.27852,0,0,0.0341969,-1315.98
50,46.4586,0,-44.7962,0,-1.1772,0,29.4935,0,-5.18678,0,-1.68858,0,0.0572113,0,0,0.0896174,-1362.43
51,47.3761,0,-43.2616,0,-1.18892,0,30.1128,0,-3.95844,0,1.28333,0,-0.334736,0,0,0.0592808,-1409.77
52,48.4212,0,-41.3496,0,-0.978111,0,30.8135,0,2.75976,0,4.50741,0,-0.350256,0,0,0.0711024,-1458.15
53,48.6171,0,-40.9978,0,-0.918832,0,30.7283,0,4.29725,0,4.60845,0,-0.118546,0,0,0.0129962,-1506.76
54,48.9382,0,-40.4419,0,-0.818319,0,30.4233,0,6.68401,0,5.11091,0,-0.279531,0,0,0.0206484,-1555.67
55,49.2852,0,-39.8787,0,-0.709535,0,29.9181,0,8.97395,0,5.13144,0,-0.134849,0,0,0.0212069,-1604.94
56,49.6515,0,-39.332,0,-0.602439,0,29.3103,0,10.9089,0,5.02708,0,-0.123931,0,0,0.0210545,-1654.58
57,50.5848,0,-38.1535,0,-0.400257,0,28.2454,0,13.27,0,3.33435,0,0.0696196,0,0,0.0481166,-1705.15
58,52.6345,0,-36.3182,0,-0.371761,0,30.0401,0,8.11697,0,-2.53137,0,0.324959,0,0,0.0883918,-1757.75
59,52.9111,0,-36.1175,0,-0.401443,0,30.3956,0,6.75598,0,-2.86936,0,0.120016,0,0,0.0109812,-1810.65
60,55.2295,0,-34.5763,0,-0.506791,0,31.4144,0,1.85791,0,0.649764,0,-0.359184,0,0,0.0888328,-1865.84
61,56.2897,0,-33.9126,0,-0.488595,0,31.5674,0,2.02215,0,0.265377,0,0.0423539,0,0,0.0396411,-1922.12
62,57.3556,0,-33.2652,0,-0.472582,0,31.7183,0,2.10807,0,0.548414,0,-0.086374,0,0,0.0393298,-1979.47
63,58.344,0,-32.6832,0,-0.453465,0,31.8427,0,2.29127,0,0.511286,0,-0.026961,0,0,0.0360054,-2037.8
64,58.7603,0,-32.4435,0,-0.446155,0,31.8949,0,2.33643,0,0.460967,0,-0.0114362,0,0,0.0150329,-2096.56
65,59.5473,0,-31.9998,0,-0.423755,0,31.9689,0,2.67391,0,1.1249,0,-0.212277,0,0,0.0282046,-2156.09
66,59.9083,0,-31.8007,0,-0.405867,0,31.979,0,3.04346,0,1.65944,0,-0.350345,0,0,0.0128425,-2215.96
67,62.4087,0,-30.555,0,-0.102865,0,30.7958,0,9.61737,0,5.13149,0,-0.384027,0,0,0.0867598,-2278.33
68,63.4379,0,-30.1553,0,0.0731326,0,29.5227,0,12.6506,0,5.09281,0,-0.169533,0,0,0.0342942,-2341.75
69,64.3259,0,-29.8858,0,0.186897,0,28.8128,0,13.6846,0,2.74806,0,0.382742,0,0,0.0289897,-2406.03
70,67.0888,0,-29.4951,0,0.411075,0,28.1614,0,13.1333,0,2.31073,0,-0.183409,0,0,0.088788,-2473.1
71,69.535,0,-29.6511,0,0.366806,0,29.6915,0,6.93313,0,-3.2234,0,0.375103,0,0,0.0797636,-2542.59
72,70.9749,0,-29.8803,0,0.223179,0,30.2811,0,1.60561,0,-2.68132,0,-0.160226,0,0,0.0479678,-2613.55
73,72.1821,0,-30.0866,0,0.0864674,0,30.1395,0,-2.31878,0,-4.02368,0,0.279258,0,0,0.040455,-2685.7
74,73.1653,0,-30.2359,0,-0.0293403,0,29.7402,0,-4.94269,0,-2.97942,0,-0.201044,0,0,0.0329409,-2758.84
75,74.4686,0,-30.3771,0,-0.189843,0,28.9638,0,-7.891,0,-4.34105,0,0.367759,0,0,0.0435809,-2833.27
76,77.2306,0,-30.3302,0,-0.504945,0,27.4611,0,-11.1217,0,-2.36135,0,-0.00943742,0,0,0.0926695,-2910.5
77,79.2248,0,-29.9355,0,-0.519009,0,28.5219,0,-7.47164,0,1.86616,0,-0.362853,0,0,0.0688599,-2989.68
78,81.6345,0,-29.16,0,-0.425499,0,29.5415,0,-2.35026,0,0.175545,0,0.245791,0,0,0.0856845,-3071.29
79,82.1505,0,-28.971,0,-0.421362,0,29.6215,0,-1.94358,0,0.268561,0,-0.00700485,0,0,0.0185269,-3153.44
80,84.2352,0,-28.1713,0,-0.292492,0,29.8228,0,2.22409,0,3.07896,0,-0.316266,0,0,0.0749374,-3237.64
81,86.4999,0,-27.3658,0,-0.139936,0,29.5909,0,5.06786,0,0.649953,0,0.184638,0,0,0.0801429,-3324.12
82,87.1139,0,-27.1757,0,-0.124323,0,29.6196,0,4.98198,0,0.809364,0,-0.146475,0,0,0.0214065,-3411.21
83,88.0273,0,-26.9158,0,-0.0847703,0,29.5715,0,5.32974,0,1.68976,0,-0.318964,0,0,0.0316101,-3499.21
84,88.6258,0,-26.7609,0,-0.0491691,0,29.4825,0,5.79011,0,1.76799,0,-0.124979,0,0,0.0205732,-3587.82
85,91.571,0,-26.1752,0,-0.0799227,0,29.9616,0,2.39235,0,-2.28036,0,0.257985,0,0,0.0998801,-3679.36
86,93.6994,0,-25.8286,0,-0.306498,0,29.8672,0,-3.87694,0,-3.89554,0,0.199882,0,0,0.0717124,-3773.04
87,95.1152,0,-25.5349,0,-0.490176,0,29.1746,0,-7.53618,0,-3.69944,0,0.0631683,0,0,0.0479973,-3868.14
88,96.7739,0,-25.0425,0,-0.678259,0,28.4302,0,-9.86927,0,-2.79922,0,0.0191027,0,0,0.0574752,-3964.91
89,97.7959,0,-24.632,0,-0.745855,0,28.4857,0,-9.64364,0,-0.895387,0,-0.267318,0,0,0.0366188,-4062.68
90,100.01,0,-23.4339,0,-0.824818,0,29.1977,0,-7.69909,0,-1.04769,0,0.159356,0,0,0.083662,-4162.67
91,101.679,0,-22.2442,0,-0.927024,0,29.4186,0,-7.70333,0,-1.97647,0,0.239108,0,0,0.0676819,-4264.32
92,102.018,0,-21.9688,0,-0.949472,0,29.4673,0,-7.71798,0,-1.15065,0,-0.341977,0,0,0.0143548,-4366.3
93,102.436,0,-21.6116,0,-0.969489,0,29.5911,0,-7.51224,0,-1.07115,0,0.090291,0,0,0.0180292,-4468.73
94,103.644,0,-20.4669,0,-0.946422,0,30.4204,0,-4.77294,0,1.87869,0,-0.33157,0,0,0.054306,-4572.34
95,105.376,0,-18.6512,0,-0.714603,0,31.1662,0,2.89768,0,3.65851,0,-0.156883,0,0,0.0808836,-4677.69
96,106.2,0,-17.8164,0,-0.564816,0,30.7969,0,6.51478,0,4.3187,0,-0.211309,0,0,0.0373422,-4783.87
97,108.209,0,-16.1055,0,-0.30993,0,29.9817,0,9.90232,0,1.67348,0,0.0974531,0,0,0.0836297,-4892.07
