witness_x,witness_y,witness_z,witness_cost,rep_x,rep_y,rep_z,rep_cost
92.2619,-30.7732,-46.2759,inf,92.2619,-30.7732,-46.2759,118.822
92.2617,-30.7701,-46.275,inf,92.2617,-30.7701,-46.275,118.822
130.629,-35.7951,-23.1604,inf,130.629,-35.7951,-23.1604,74.5014
92.2616,-30.7748,-46.2759,inf,92.2616,-30.7748,-46.2759,118.822
92.2612,-30.7729,-46.2739,inf,92.2612,-30.7729,-46.2739,118.822
92.2601,-30.7726,-46.2727,inf,92.2601,-30.7726,-46.2727,118.822
92.261,-30.7696,-46.2731,inf,92.261,-30.7696,-46.2731,118.822
92.2637,-30.7589,-46.2779,inf,92.2637,-30.7589,-46.2779,118.823
92.2619,-30.7721,-46.2759,inf,92.2619,-30.7721,-46.2759,118.822
92.2608,-30.7658,-46.2728,inf,92.2608,-30.7658,-46.2728,118.823
92.2619,-30.775,-46.2762,inf,92.2619,-30.775,-46.2762,118.822
92.2604,-30.7751,-46.2733,inf,92.2604,-30.7751,-46.2733,118.822
92.2602,-30.774,-46.2725,inf,92.2602,-30.774,-46.2725,118.822
92.2612,-30.7709,-46.2744,inf,92.2612,-30.7709,-46.2744,118.822
92.2598,-30.7746,-46.2718,inf,92.2598,-30.7746,-46.2718,118.822
92.2612,-30.7747,-46.2745,inf,92.2612,-30.7747,-46.2745,118.822
92.2611,-30.7738,-46.2749,inf,92.2611,-30.7738,-46.2749,118.822
130.631,-35.7831,-23.1679,inf,130.631,-35.7831,-23.1679,74.5044
92.262,-30.7751,-46.2766,inf,92.262,-30.7751,-46.2766,118.822
92.26,-30.7734,-46.2719,inf,92.26,-30.7734,-46.2719,118.822
107.758,-34.4574,-37.6497,inf,107.758,-34.4574,-37.6497,100.835
92.2619,-30.7654,-46.2755,inf,92.2619,-30.7654,-46.2755,118.823
92.2615,-30.7744,-46.2753,inf,92.2615,-30.7744,-46.2753,118.822
107.761,-34.4529,-37.6526,inf,107.761,-34.4529,-37.6526,100.834
130.629,-35.7883,-23.1609,inf,130.629,-35.7883,-23.1609,74.5036
92.2624,-30.7682,-46.2771,inf,92.2624,-30.7682,-46.2771,118.823
92.2607,-30.7751,-46.2737,inf,92.2607,-30.7751,-46.2737,118.822
92.2629,-30.7624,-46.2773,inf,92.2629,-30.7624,-46.2773,118.823
92.2621,-30.7706,-46.2768,inf,92.2621,-30.7706,-46.2768,118.822
92.2606,-30.7726,-46.2736,inf,92.2606,-30.7726,-46.2736,118.822
120.627,-35.6863,-29.5572,inf,120.627,-35.6863,-29.5572,85.8991
92.2618,-30.7665,-46.2748,inf,92.2618,-30.7665,-46.2748,118.823
95.3304,-31.7251,-44.7607,inf,95.3304,-31.7251,-44.7607,115.296
92.2608,-30.7748,-46.2744,inf,92.2608,-30.7748,-46.2744,118.822
92.2612,-30.7671,-46.2737,inf,92.2612,-30.7671,-46.2737,118.823
92.2613,-30.7688,-46.2742,inf,92.2613,-30.7688,-46.2742,118.822
92.2605,-30.7739,-46.2731,inf,92.2605,-30.7739,-46.2731,118.822
92.2607,-30.7753,-46.2737,inf,92.2607,-30.7753,-46.2737,118.822
92.2598,-30.7679,-46.2714,inf,92.2598,-30.7679,-46.2714,118.823
101.516,-33.4798,-41.502,inf,101.516,-33.4798,-41.502,108.141
92.2622,-30.776,-46.2773,inf,92.2622,-30.776,-46.2773,118.822
92.2607,-30.7628,-46.2724,inf,92.2607,-30.7628,-46.2724,118.823
92.26,-30.7734,-46.2725,inf,92.26,-30.7734,-46.2725,118.822
92.2594,-30.7741,-46.2707,inf,92.2594,-30.7741,-46.2707,118.822
92.2605,-30.7707,-46.2723,inf,92.2605,-30.7707,-46.2723,118.822
130.63,-35.7836,-23.165,inf,130.63,-35.7836,-23.165,74.5047
92.2608,-30.7668,-46.2725,inf,92.2608,-30.7668,-46.2725,118.823
110.898,-34.8654,-35.6348,inf,110.898,-34.8654,-35.6348,97.1499
98.4219,-32.6085,-43.1761,inf,98.4219,-32.6085,-43.1761,111.735
92.2628,-30.7752,-46.2784,inf,92.2628,-30.7752,-46.2784,118.822
92.2603,-30.7732,-46.2728,inf,92.2603,-30.7732,-46.2728,118.822
92.2609,-30.7718,-46.2739,inf,92.2609,-30.7718,-46.2739,118.822
92.2629,-30.7736,-46.2786,inf,92.2629,-30.7736,-46.2786,118.822
92.2607,-30.772,-46.2729,inf,92.2607,-30.772,-46.2729,118.822
92.2602,-30.7676,-46.2725,inf,92.2602,-30.7676,-46.2725,118.823
92.2618,-30.7648,-46.2744,inf,92.2618,-30.7648,-46.2744,118.823
92.2599,-30.7725,-46.272,inf,92.2599,-30.7725,-46.272,118.822
104.599,-34.304,-39.7089,inf,104.599,-34.304,-39.7089,104.52
92.2617,-30.7745,-46.2759,inf,92.2617,-30.7745,-46.2759,118.822
92.2595,-30.7742,-46.2712,inf,92.2595,-30.7742,-46.2712,118.822
92.2598,-30.7741,-46.272,inf,92.2598,-30.7741,-46.272,118.822
