NodeID,x,y,z,phi,theta,psi,u,v,w,p,q,r,delta_e,delta_a,delta_r,duration,cost
33,68.5877,-10.249,-54.4382,-2.07167,-0.843347,-0.0285555,34.3814,1.27392,-0.586412,-0.360394,-0.299719,-0.905869,0.142434,-0.0274424,0.0432969,0.1,147.692
34,70.9217,-10.4261,-51.8732,-2.16455,-0.858559,0.0415437,34.9356,1.84342,-1.88944,-0.429939,-0.291441,0.155322,0.0183892,0.0706128,-0.00660873,0.1,144.631
35,73.264,-10.5438,-49.2276,-2.26747,-0.730362,0.112967,35.2984,-1.11879,-5.05653,-0.491171,-1.95135,1.05328,0.145318,0.165026,-0.124752,0.1,141.57
36,75.7078,-10.4828,-46.5836,-2.34006,-0.693981,0.0795568,36.011,-2.55861,-3.28044,-1.30981,1.80121,-0.139936,-0.148921,-0.110194,-0.0974999,0.1,138.493
37,78.2224,-10.3429,-43.9326,-2.31392,-0.791721,0.0284392,36.8293,-1.17749,-0.385636,1.03996,-0.0111305,-0.65407,0.11947,0.124104,0.113264,0.1,135.398
38,80.7238,-10.2237,-41.1866,-2.28557,-0.767135,0.14766,37.32,-0.441705,-3.43745,1.21714,-1.46297,-0.0616845,0.10188,0.141577,-0.0863806,0.1,132.308
39,83.2712,-10.0167,-38.3965,-2.24832,-0.803693,0.122824,38.109,-0.304402,-1.14381,-0.828287,2.11672,-0.27124,-0.147558,-0.0937034,-0.152132,0.1,129.223
40,85.8146,-9.82592,-35.5168,-2.14975,-0.873108,0.0124762,38.735,-0.318397,0.862411,1.12157,-0.19751,0.00355399,0.110616,0.134534,0.0923117,0.1,126.15
41,88.2911,-9.76348,-32.4961,-1.94386,-0.869001,-0.0371136,39.3597,-1.38384,0.447123,2.26511,0.739046,0.23812,-0.0505955,0.158316,-0.00783277,0.1,123.101
42,90.7231,-9.87148,-29.3616,-1.5141,-0.921377,-0.297128,39.7488,-0.207525,4.441,2.1407,2.45596,-0.664184,-0.110818,-0.0202676,0.0133485,0.1,120.058
43,93.062,-10.4315,-26.1473,-0.965625,-0.864321,-0.696122,39.4715,1.70515,8.2889,2.46715,2.50622,0.198719,-0.0850063,0.162345,-0.0222809,0.1,116.983
44,95.2843,-11.6977,-23.0239,-0.623108,-0.667614,-0.922379,39.1714,1.76878,10.0914,1.24513,2.50921,0.279818,-0.115457,-0.0744778,0.0192626,0.1,113.853
45,97.4181,-13.7202,-20.2497,-0.421502,-0.473152,-0.96861,39.4248,0.317614,9.16757,2.30947,1.29437,0.900136,-0.0663714,0.124096,0.0477377,0.1,110.677
46,99.5335,-16.3166,-17.986,-0.185565,-0.298117,-0.939899,39.5414,-0.821644,8.52412,2.6454,1.88702,0.582437,-0.133385,0.0691892,-0.0105459,0.1,107.478
47,101.742,-19.2609,-16.3434,0.0902778,-0.0645621,-0.899721,38.8754,-0.110802,10.3399,2.93711,2.67388,0.472183,-0.152266,0.133608,-0.0588778,0.1,104.243
48,104.138,-22.3456,-15.415,0.373562,-0.107149,-0.831672,39.9107,-1.03059,3.18314,2.91679,-2.82445,1.20033,0.161356,0.152346,-0.0793106,0.1,100.955
49,106.656,-25.3803,-14.7149,0.635944,-0.319436,-0.843634,39.6916,-3.98415,-3.33147,2.40188,-0.859006,0.385107,-0.0783047,0.0217542,-0.101237,0.1,97.6511
50,109.175,-28.3854,-13.8586,0.896983,-0.176703,-0.829381,40.0837,0.530717,2.17142,2.4836,2.81363,-1.84786,-0.159714,-0.155232,0.115876,0.1,94.384
51,111.863,-31.2485,-13.0756,1.0713,0.0264741,-0.653118,38.9423,4.75275,7.27603,1.19605,2.22916,0.516655,-0.039045,0.157498,-0.0926581,0.1,91.0533
52,114.925,-33.7102,-12.5563,1.09263,0.0463169,-0.372599,38.1578,1.01184,9.96357,-0.702688,2.83159,1.40012,-0.138158,-0.105337,-0.0373735,0.1,87.5259
53,118.366,-35.5796,-12.3097,1.10383,-0.0611647,-0.307941,38.8401,-2.79474,3.64164,0.853059,-2.43343,0.909598,0.156817,0.0795249,0.0428857,0.1,83.8064
54,121.965,-37.1056,-12.1278,1.18321,-0.0952314,-0.39481,38.9684,-1.28997,-0.748268,0.441346,0.708406,-0.832017,-0.159902,-0.141273,0.00815303,0.1,80.0179
55,125.588,-38.5091,-11.8864,1.22843,0.0545333,-0.256343,38.5428,3.08762,4.43691,0.293666,2.7483,-0.700599,-0.122484,-0.0567099,0.085983,0.1,76.2268
